id,family,round,count,median_cagr,median_total_return,median_excess_cagr,outperform_rate,median_sharpe,median_sharpe_excess,higher_sharpe_rate,sharpe_pairs,median_drawdown,median_exposure,median_entries,activity_rate,all_cash,cagr8_rate,positive_rate,score,eligible
R01_BREAK20_10,breakout,round01,351,-1.0842953439935132,-5.0831786014864155,-1.9434656657435934,0.43874643874643876,0.0807902376604263,-0.16694958229537216,0.33903133903133903,351,43.85811717057746,0.35853658536585364,17.0,1.0,0,0.19373219373219372,0.4472934472934473,47.415254237288124,True
R02_RSI21_45_85,rsi,round02,351,-0.09617342306765808,-0.45573135373078166,0.0,0.1111111111111111,0.21921405809734132,0.0,0.10826210826210826,351,61.53414059117057,0.9983739837398374,1.0,1.0,0,0.2792022792022792,0.49572649572649574,43.30508474576271,True
R02_RSI28_45_85,rsi,round02,351,-0.022241452994209432,-0.11089926777355652,0.0,0.09686609686609686,0.21559704986163145,0.0,0.08831908831908832,351,61.60709924818215,0.9983739837398374,1.0,1.0,0,0.27635327635327633,0.4985754985754986,42.20338983050847,True
R02_RSI21_50_90,rsi,round02,351,-0.022241452994209432,-0.11089926777355652,0.0,0.06267806267806268,0.21559704986163145,0.0,0.05982905982905983,351,61.60709924818215,0.9983739837398374,1.0,1.0,0,0.27635327635327633,0.4985754985754986,41.016949152542374,True
R01_MOM63,momentum,round01,351,-2.213555857030458,-10.357980721127413,-2.17232366068012,0.42735042735042733,0.02117030746409406,-0.19935820712686014,0.27635327635327633,351,49.87100693682722,0.4764227642276423,8.0,1.0,0,0.17094017094017094,0.4045584045584046,40.8050847457627,True
R01_MOM252,momentum,round01,351,-2.0253178487593004,-9.172196712263258,-2.5704943338521,0.4045584045584046,0.041505820346902915,-0.19744434615416354,0.26956521739130435,345,46.32768251711394,0.44634146341463415,4.0,0.9829059829059829,6,0.21937321937321938,0.42165242165242167,39.19491525423729,True
R02_RSI28_50_90,rsi,round02,351,-0.12864489616052355,-0.47882883940887355,0.0,0.07407407407407407,0.20826711865837144,0.0,0.06837606837606838,351,61.731692231298894,0.9983739837398374,1.0,1.0,0,0.27350427350427353,0.4928774928774929,38.220338983050844,True
R01_Z20_2_T200,zscore,round01,351,-0.855742773552115,-4.057258407218589,-1.5073006406366996,0.45584045584045585,-0.07832794324958908,-0.29997345999717895,0.2316715542521994,341,16.401420260312893,0.04715447154471545,6.0,0.9715099715099715,10,0.03418803418803419,0.3646723646723647,37.71186440677966,True
R01_SMA50_monthly,sma,round01,351,-2.7666521819266543,-12.043880100974924,-2.0121225590674863,0.4017094017094017,0.04100263075244526,-0.18389031346428458,0.29914529914529914,351,49.37283256705267,0.4642857142857143,11.0,1.0,0,0.18233618233618235,0.4074074074074074,36.567796610169495,True
R01_RSI2_10_65_T200,rsi,round01,351,-1.2588172419047194,-6.033506711804371,-1.9533030460244682,0.43874643874643876,-0.10167255480221468,-0.29579727602984895,0.27586206896551724,348,22.047852327789098,0.07642276422764227,22.0,0.9914529914529915,3,0.07122507122507123,0.3817663817663818,35.12711864406779,True
R01_BREAK55_20,breakout,round01,351,-2.3913281976393197,-10.97856192385005,-2.8510520838430646,0.43304843304843305,-0.0037527879251061285,-0.18823753034266943,0.2914285714285714,350,41.85693020348034,0.2821138211382114,8.0,0.9971509971509972,1,0.16524216524216523,0.36752136752136755,34.66101694915255,True
R01_CROSS10_50,cross,round01,351,-3.057914494439684,-13.850629100073153,-2.376727506007004,0.42165242165242167,0.01243716176126293,-0.17886941299045375,0.2934472934472934,351,49.37402873041374,0.47073170731707314,15.0,1.0,0,0.18518518518518517,0.39316239316239315,34.40677966101695,True
R01_CROSS20_100,cross,round01,351,-2.4296102759196914,-11.04364298222944,-2.695767286662898,0.3817663817663818,0.02861393217522656,-0.21386463550717918,0.2706552706552707,351,49.98939548373059,0.46260162601626015,8.0,1.0,0,0.18233618233618235,0.39316239316239315,31.39830508474576,True
R01_BREAK200_100,breakout,round01,351,-2.8403923554723987,-11.866139562812528,-2.2381187407063186,0.42735042735042733,-0.05443872740584994,-0.25442602654142155,0.21364985163204747,337,40.70194120446161,0.3032520325203252,2.0,0.9601139601139601,14,0.1794871794871795,0.3504273504273504,30.211864406779657,True
R01_BREAK100_50,breakout,round01,351,-2.2163273356290314,-10.57787539608982,-2.775403302885371,0.4017094017094017,-0.00487972225299596,-0.2342770517008893,0.24347826086956523,345,43.39053848427024,0.3170731707317073,4.0,0.9829059829059829,6,0.17094017094017094,0.3732193732193732,29.95762711864407,True
R01_SMA100_monthly,sma,round01,351,-3.123056576242944,-14.453111398397578,-2.561439014479218,0.41025641025641024,-0.008099300482162895,-0.17967225543662077,0.25071225071225073,351,48.420886712174294,0.44878048780487806,8.0,1.0,0,0.2022792022792023,0.4017094017094017,29.40677966101694,True
R01_SMA100_band2,sma,round01,351,-2.7165437610621623,-12.83660558059413,-2.9244156188537374,0.37037037037037035,0.03770935876280498,-0.192300396903308,0.245014245014245,351,50.63439706076069,0.45691056910569106,13.0,1.0,0,0.18233618233618235,0.3789173789173789,27.28813559322034,True
R01_CROSS50_200,cross,round01,351,-3.3443764648388052,-14.620633654815784,-2.749396232870759,0.4074074074074074,-0.01974295542516459,-0.2267343174206219,0.24355300859598855,349,48.361518941201496,0.44308943089430897,4.0,0.9943019943019943,2,0.15669515669515668,0.3732193732193732,25.508474576271183,True
R01_SMA200_monthly,sma,round01,351,-3.548341810557143,-14.011763262624443,-2.292651504313903,0.4045584045584046,-0.010976434908378843,-0.20152618903597705,0.24068767908309455,349,47.680043647273365,0.4373983739837398,5.0,0.9943019943019943,2,0.19373219373219372,0.37037037037037035,25.466101694915253,True
R01_SMA100_weekly,sma,round01,351,-2.665328626658525,-12.558917240013,-2.875604317770253,0.3646723646723647,0.02255940432226731,-0.18983542164236653,0.24216524216524216,351,49.94918222067546,0.45528455284552843,15.0,1.0,0,0.17094017094017094,0.3903133903133903,24.491525423728813,True
R01_SMA50_weekly,sma,round01,351,-2.9804884552494526,-13.21576928585193,-2.4690361576784383,0.3646723646723647,0.013407007877646508,-0.19645506493916404,0.2564102564102564,351,49.351609340112844,0.46747967479674796,22.0,1.0,0,0.19658119658119658,0.38461538461538464,24.322033898305083,True
R01_SMA150_monthly,sma,round01,351,-2.4764475910628247,-11.631748892747185,-3.0310929407491685,0.37037037037037035,0.007740589999184095,-0.21382024747587342,0.2336182336182336,351,48.010271846350186,0.44959349593495934,6.0,1.0,0,0.17663817663817663,0.38746438746438744,23.89830508474576,True
R01_SMA200_band2,sma,round01,351,-3.448265081834645,-15.313945962425068,-3.0289068275823894,0.3817663817663818,0.008650668919495778,-0.2130706968712287,0.26571428571428574,350,47.7506392156607,0.44471544715447153,9.0,0.9971509971509972,1,0.18518518518518517,0.39316239316239315,21.652542372881353,True
R01_MOM126,momentum,round01,351,-3.4144812492409193,-15.823972043690038,-2.63815939488088,0.37037037037037035,0.0010568216572057949,-0.20783676297052223,0.23076923076923078,351,50.520477900082916,0.46178861788617886,6.0,1.0,0,0.20797720797720798,0.3475783475783476,21.52542372881356,True
R01_SMA250_monthly,sma,round01,351,-3.40682595175964,-15.683312868375666,-2.686230488880436,0.38461538461538464,-0.04202170719380366,-0.2081705637167561,0.23054755043227665,347,48.09815314253483,0.4292682926829268,5.0,0.9886039886039886,4,0.19373219373219372,0.3646723646723647,19.999999999999996,True
R01_RSI2_20_80_T200,rsi,round01,351,-3.174288652445967,-13.891843050880158,-2.8258138779376107,0.39886039886039887,-0.1540800733262189,-0.35321168398079605,0.2034383954154728,349,33.29843526651655,0.17317073170731706,31.0,0.9943019943019943,2,0.09401709401709402,0.3418803418803419,18.644067796610173,True
R01_SMA250_weekly,sma,round01,351,-2.8975120236274687,-13.600085994156474,-4.0274068310428675,0.36752136752136755,-0.007856826659954163,-0.2410630788942878,0.2521489971346705,349,48.59648314195915,0.4300813008130081,9.0,0.9943019943019943,2,0.1794871794871795,0.3561253561253561,18.220338983050848,True
R01_SMA200_weekly,sma,round01,351,-3.2270157812638534,-14.48925564241409,-3.2026804561404276,0.3732193732193732,-0.029253805160427637,-0.2179819017986065,0.22857142857142856,350,49.47707091446458,0.4373983739837398,11.0,0.9971509971509972,1,0.18518518518518517,0.36182336182336183,17.3728813559322,True
R01_SMA150_weekly,sma,round01,351,-3.4398914816133552,-15.487784277402605,-3.3131106277879185,0.3504273504273504,-0.03000217150364727,-0.2332713623170781,0.2222222222222222,351,50.30794613079408,0.45121951219512196,12.0,1.0,0,0.17663817663817663,0.34472934472934474,9.915254237288135,True
R02_RSI28_25_75,rsi,round02,351,0.0,0.0,0.8600591609307484,0.5242165242165242,0.2551554241182345,0.13094182095284274,0.6610169491525424,177,1.8348639555883839,0.01869918699186992,1.0,0.5042735042735043,174,0.14245014245014245,0.2905982905982906,82.71186440677965,False
R01_BH,buy_hold,round01,351,0.33260265950512125,1.670184300810873,0.0,0.0,0.21921405809734132,0.0,0.0,351,61.895471014929804,0.9983739837398374,1.0,1.0,0,0.28205128205128205,0.5042735042735043,44.66101694915254,False
R01_RSI14_30_55_T200,rsi,round01,351,0.0,0.0,-0.35351798136233903,0.48717948717948717,-0.13812965514529466,-0.35753701389492976,0.3160621761658031,193,1.8295417325375873,0.0008130081300813008,1.0,0.5498575498575499,158,0.008547008547008548,0.2336182336182336,43.686440677966104,False
