candidate,primary_selected,window,scenario,cohort,count,median_cagr,median_total_return,median_excess_cagr,outperform_rate,median_sharpe,median_sharpe_excess,higher_sharpe_rate,sharpe_pairs,median_drawdown,median_exposure,median_entries,activity_rate,all_cash,cagr8_rate,positive_rate
R11_HORIZON_BAG,False,reserved,delay1,primary,381,10.478723447154836,30.510876830571164,-7.57706965922711,0.36220472440944884,0.6273896094606137,0.07640824193039564,0.5406824146981627,381,17.31843230452047,0.1957619321929418,6.0,1.0,0,0.5853018372703412,0.8503937007874016
R11_HORIZON_BAG,False,reserved,delay1,full10,275,10.51883979692645,30.637548910041957,-7.650350623132684,0.3527272727272727,0.7250685388686061,0.10144516650988866,0.5454545454545454,275,15.691670852529072,0.19579927060683996,6.0,1.0,0,0.5927272727272728,0.8727272727272727
R11_BREADTH250_0.15_0.65,False,full,base,all,461,3.7830964322301597,39.357754980237594,0.8271729392943534,0.5292841648590022,0.37630748986966,0.04476480491472476,0.5603448275862069,348,34.761899597514045,0.18203982121088988,3.0,0.754880694143167,113,0.24945770065075923,0.6898047722342733
R11_BREADTH250_0.15_0.65,False,full,base,primary,370,4.891708583653176,58.150848756347116,0.5638848419010745,0.5243243243243243,0.37630748986966,0.04476480491472476,0.5603448275862069,348,38.54456548228906,0.18203982121088988,3.0,0.9405405405405406,22,0.3108108108108108,0.8594594594594595
R11_BREADTH250_0.15_0.65,False,full,base,full10,275,5.118396650131052,64.67925658576983,-0.4045239392202582,0.48727272727272725,0.3783488211953902,0.04133046696079501,0.56,275,38.70102945050653,0.18203982121088988,3.0,1.0,0,0.3090909090909091,0.9272727272727272
R11_BREADTH250_0.15_0.65,False,full,cost2x,all,461,3.689669583255628,38.10916010532872,0.7845973259223324,0.527114967462039,0.370182471907913,0.0406078240599851,0.5574712643678161,348,34.767717515079966,0.18203982121088988,3.0,0.754880694143167,113,0.2472885032537961,0.6876355748373102
R11_BREADTH250_0.15_0.65,False,full,cost2x,primary,370,4.796601700467251,56.73387458617863,0.5006984411981557,0.5216216216216216,0.370182471907913,0.0406078240599851,0.5574712643678161,348,38.54456548228906,0.18203982121088988,3.0,0.9405405405405406,22,0.3081081081081081,0.8567567567567568
R11_BREADTH250_0.15_0.65,False,full,cost2x,full10,275,5.023767747102603,63.20379025233211,-0.4639004952897263,0.48363636363636364,0.3720384667842734,0.03715041505382555,0.5563636363636364,275,38.897285997179964,0.18203982121088988,3.0,1.0,0,0.3054545454545455,0.9236363636363636
R11_BREADTH250_0.15_0.65,False,full,delay1,all,461,2.9912802240093406,31.589441696752708,0.09831169771201687,0.5054229934924078,0.355732424591086,0.009549284407587094,0.5114942528735632,348,35.50931623961291,0.18203982121088988,3.0,0.754880694143167,113,0.19522776572668113,0.6724511930585684
R11_BREADTH250_0.15_0.65,False,full,delay1,primary,370,4.351568105188541,51.00002601414584,-0.2940282386558968,0.4918918918918919,0.355732424591086,0.009549284407587094,0.5114942528735632,348,39.20585570808601,0.18203982121088988,3.0,0.9405405405405406,22,0.24324324324324326,0.8378378378378378
